yr,wk,tm_home,tm_away
2018,14,DAL,PHI
2018,14,OAK,PIT
2018,14,SEA,MIN
2018,15,KCY,LAC
2018,15,NYJ,HOU
2018,15,DEN,CLE
2018,15,BUF,DET
2018,15,CHI,GBY
2018,15,CIN,OAK
2018,15,BAL,TBY
2018,15,ATL,ARI
2018,15,IND,DAL
2018,15,NYG,TEN
2018,15,MIN,MIA
2018,15,JAX,WAS
2018,15,SFO,SEA
2018,15,PIT,NWE
2018,15,LAR,PHI
2018,15,CAR,NOR
2018,16,IND,NYG
2018,16,PHI,HOU
2018,16,NYJ,GBY
2018,16,NWE,BUF
2018,16,DET,MIN
2018,16,DAL,TBY
2018,16,MIA,JAX
2018,16,TEN,WAS
2018,16,CAR,ATL
2018,16,CLE,CIN
2018,16,SFO,CHI
2018,16,ARI,LAR
2018,16,LAC,BAL
2018,16,NOR,PIT
2018,16,SEA,KCY
2018,16,OAK,DEN
2018,17,BUF,MIA
2018,17,GBY,DET
2018,17,HOU,JAX
2018,17,KCY,OAK
2018,17,MIN,CHI
2018,17,NWE,NYJ
2018,17,NOR,CAR
2018,17,NYG,DAL
2018,17,PIT,CIN
2018,17,TBY,ATL
2018,17,TEN,IND
2018,17,WAS,PHI
2018,17,BAL,CLE
2018,17,DEN,LAC
2018,17,SEA,ARI
2018,17,LAR,SFO
