eventId,eventUid,eventDate,eventName,eventShortName,venueFullName,venueCity,teamNameHome,teamAbbreviationHome,teamScoreHome,teamNameAway,teamAbbreviationAway,teamScoreAway
401030868,s:20~l:28~e:401030868,2018-12-23T18:00Z,Washington Redskins at Tennessee Titans,WSH @ TEN,Nissan Stadium,Nashville,Titans,TEN,0,Redskins,WSH,0
401030861,s:20~l:28~e:401030861,2018-12-23T18:00Z,New York Giants at Indianapolis Colts,NYG @ IND,Lucas Oil Stadium,Indianapolis,Colts,IND,0,Giants,NYG,0
401030866,s:20~l:28~e:401030866,2018-12-23T18:00Z,Jacksonville Jaguars at Miami Dolphins,JAX @ MIA,Hard Rock Stadium,Miami Gardens,Dolphins,MIA,0,Jaguars,JAX,0
401030892,s:20~l:28~e:401030892,2018-12-23T18:00Z,Buffalo Bills at New England Patriots,BUF @ NE,Gillette Stadium,Foxboro,Patriots,NE,0,Bills,BUF,0
401030870,s:20~l:28~e:401030870,2018-12-23T18:00Z,Green Bay Packers at New York Jets,GB @ NYJ,MetLife Stadium,East Rutherford,Jets,NYJ,0,Packers,GB,0
401030864,s:20~l:28~e:401030864,2018-12-23T18:00Z,Houston Texans at Philadelphia Eagles,HOU @ PHI,Lincoln Financial Field,Philadelphia,Eagles,PHI,0,Texans,HOU,0
401030895,s:20~l:28~e:401030895,2018-12-23T18:00Z,Atlanta Falcons at Carolina Panthers,ATL @ CAR,Bank of America Stadium,Charlotte,Panthers,CAR,0,Falcons,ATL,0
401030907,s:20~l:28~e:401030907,2018-12-23T21:05Z,Los Angeles Rams at Arizona Cardinals,LAR @ ARI,U of Phoenix Stadium,Glendale,Cardinals,ARI,0,Rams,LAR,0
401030897,s:20~l:28~e:401030897,2018-12-23T21:05Z,Baltimore Ravens at Los Angeles Chargers,BAL @ LAC,StubHub Center,Carson,Chargers,LAC,0,Ravens,BAL,0
401030901,s:20~l:28~e:401030901,2018-12-23T21:05Z,Chicago Bears at San Francisco 49ers,CHI @ SF,Levi's Stadium,Santa Clara,49ers,SF,0,Bears,CHI,0
401030913,s:20~l:28~e:401030913,2018-12-23T21:25Z,Pittsburgh Steelers at New Orleans Saints,PIT @ NO,Mercedes-Benz Superdome,New Orleans,Saints,NO,0,Steelers,PIT,0
401030917,s:20~l:28~e:401030917,2018-12-24T01:20Z,Kansas City Chiefs at Seattle Seahawks,KC @ SEA,CenturyLink Field,Seattle,Seahawks,SEA,0,Chiefs,KC,0
401030926,s:20~l:28~e:401030926,2018-12-25T01:15Z,Denver Broncos at Oakland Raiders,DEN @ OAK,Oakland Coliseum,Oakland,Raiders,OAK,0,Broncos,DEN,0
401030722,s:20~l:28~e:401030722,2018-12-30T18:00Z,Miami Dolphins at Buffalo Bills,MIA @ BUF,New Era Field,Buffalo,Bills,BUF,0,Dolphins,MIA,0
401030757,s:20~l:28~e:401030757,2018-12-30T18:00Z,Detroit Lions at Green Bay Packers,DET @ GB,Lambeau Field,Green Bay,Packers,GB,0,Lions,DET,0
401030755,s:20~l:28~e:401030755,2018-12-30T18:00Z,Indianapolis Colts at Tennessee Titans,IND @ TEN,Nissan Stadium,Nashville,Titans,TEN,0,Colts,IND,0
401030760,s:20~l:28~e:401030760,2018-12-30T18:00Z,Oakland Raiders at Kansas City Chiefs,OAK @ KC,Arrowhead Stadium,Kansas City,Chiefs,KC,0,Raiders,OAK,0
401030763,s:20~l:28~e:401030763,2018-12-30T18:00Z,Chicago Bears at Minnesota Vikings,CHI @ MIN,U.S. Bank Stadium,Minneapolis,Vikings,MIN,0,Bears,CHI,0
401030765,s:20~l:28~e:401030765,2018-12-30T18:00Z,New York Jets at New England Patriots,NYJ @ NE,Gillette Stadium,Foxboro,Patriots,NE,0,Jets,NYJ,0
401030768,s:20~l:28~e:401030768,2018-12-30T18:00Z,Carolina Panthers at New Orleans Saints,CAR @ NO,Mercedes-Benz Superdome,New Orleans,Saints,NO,0,Panthers,CAR,0
401030812,s:20~l:28~e:401030812,2018-12-30T18:00Z,Dallas Cowboys at New York Giants,DAL @ NYG,MetLife Stadium,East Rutherford,Giants,NYG,0,Cowboys,DAL,0
401030818,s:20~l:28~e:401030818,2018-12-30T18:00Z,Cincinnati Bengals at Pittsburgh Steelers,CIN @ PIT,Heinz Field,Pittsburgh,Steelers,PIT,0,Bengals,CIN,0
401030820,s:20~l:28~e:401030820,2018-12-30T18:00Z,Atlanta Falcons at Tampa Bay Buccaneers,ATL @ TB,Raymond James Stadium,Tampa,Buccaneers,TB,0,Falcons,ATL,0
401030727,s:20~l:28~e:401030727,2018-12-30T18:00Z,Philadelphia Eagles at Washington Redskins,PHI @ WSH,FedEx Field,Landover,Redskins,WSH,0,Eagles,PHI,0
401030719,s:20~l:28~e:401030719,2018-12-30T18:00Z,Cleveland Browns at Baltimore Ravens,CLE @ BAL,M&T Bank Stadium,Baltimore,Ravens,BAL,0,Browns,CLE,0
401030759,s:20~l:28~e:401030759,2018-12-30T18:00Z,Jacksonville Jaguars at Houston Texans,JAX @ HOU,NRG Stadium,Houston,Texans,HOU,0,Jaguars,JAX,0
401030824,s:20~l:28~e:401030824,2018-12-30T21:25Z,Los Angeles Chargers at Denver Broncos,LAC @ DEN,Broncos Stadium at Mile High,Denver,Broncos,DEN,0,Chargers,LAC,0
401030850,s:20~l:28~e:401030850,2018-12-30T21:25Z,San Francisco 49ers at Los Angeles Rams,SF @ LAR,Los Angeles Memorial Coliseum,Los Angeles,Rams,LAR,0,49ers,SF,0
401030856,s:20~l:28~e:401030856,2018-12-30T21:25Z,Arizona Cardinals at Seattle Seahawks,ARI @ SEA,CenturyLink Field,Seattle,Seahawks,SEA,0,Cardinals,ARI,0
