sc,range,season,tm_tr,tm,w_win,l_win,t_win,mov_win,w_ats,l_ats,t_ats,ats_ats,w_ou,l_ou,t_ou,total_ou
is_after_loss,2017,2017,Houston,HOU,4,7,0,-5,4,7,0,-2,4,7,0,0.5
is_after_loss,2017,2017,Indianapolis,IND,4,8,0,-4.9,7,5,0,-0.4,3,9,0,-4.5
is_after_loss,2017,2017,Jacksonville,JAX,5,1,0,17.8,4,2,0,16.5,1,5,0,-7.6
is_after_loss,2017,2017,Kansas City,KCY,2,4,0,0.7,2,4,0,-5.5,3,3,0,-1.1
is_after_loss,2017,2017,LA Chargers,LAC,3,4,0,3,3,4,0,1.7,3,4,0,-0.9
is_after_loss,2017,2017,LA Rams,LAR,4,1,0,8,3,2,0,5.6,3,2,0,5.2
is_after_loss,2017,2017,Miami,MIA,2,7,0,-7.2,2,6,1,-1.9,5,4,0,-0.7
is_after_loss,2017,2017,Minnesota,MIN,3,0,0,15.7,2,1,0,10.3,1,2,0,1.5
is_after_loss,2017,2017,New Orleans,NOR,4,1,0,6.4,2,3,0,2.9,5,0,0,3.6
is_after_loss,2017,2017,New England,NWE,3,0,0,8,3,0,0,4.2,1,2,0,-7.3
is_after_loss,2017,2017,NY Giants,NYG,3,10,0,-7.6,7,6,0,-3.3,6,7,0,0.3
is_after_loss,2017,2017,NY Jets,NYJ,3,7,0,-4.6,6,3,1,3.6,7,3,0,5.5
is_after_loss,2017,2017,Oakland,OAK,3,6,0,-4.6,3,4,2,-3,3,6,0,-4.6
is_after_loss,2017,2017,Philadelphia,PHI,3,0,0,5.3,2,1,0,4.8,2,1,0,7.8
is_after_loss,2017,2017,Pittsburgh,PIT,3,0,0,17,3,0,0,14.3,0,3,0,-8.8
is_after_loss,2017,2017,Seattle,SEA,5,1,0,3.7,3,2,1,-1.9,2,4,0,-3.5
is_after_loss,2017,2017,San Francisco,SFO,2,8,0,-6.5,6,4,0,-0.4,5,5,0,0.7
is_after_loss,2017,2017,Tampa Bay,TBY,3,8,0,-3.9,4,6,1,-1.3,5,6,0,-2.5
is_after_loss,2017,2017,Tennessee,TEN,4,3,0,4.6,6,1,0,3.8,4,3,0,-1.5
is_after_loss,2017,2017,Washington,WAS,5,3,0,-0.9,5,3,0,-0.1,4,4,0,-1.7
is_after_win,2016,2016,Arizona,ARI,2,3,1,6.5,2,4,0,2.8,4,2,0,-2.1
is_after_win,2016,2016,Atlanta,ATL,9,4,0,9.4,9,4,0,7.4,10,2,1,7.9
is_after_win,2016,2016,Baltimore,BAL,4,4,0,4.8,4,4,0,4.4,5,3,0,2.1
