season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,NOR,PHI,24,27
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,TBY,CIN,13,14
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,WAS,TEN,25,22
2006,2,6,2006-10-15,2006-10-15T20:15:00Z,NYJ,MIA,17,20
2006,2,6,2006-10-15,2006-10-15T20:15:00Z,PIT,KCY,7,45
2006,2,6,2006-10-16,2006-10-16T00:15:00Z,DEN,OAK,3,13
2006,2,6,2006-10-17,2006-10-17T00:30:00Z,ARI,CHI,24,23
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,ATL,PIT,38,41
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,BUF,NWE,28,6
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,CIN,CAR,14,17
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,HOU,JAX,7,27
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,MIA,GBY,34,24
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,NYJ,DET,24,31
2006,2,7,2006-10-22,2006-10-22T17:00:00Z,TBY,PHI,21,23
2006,2,7,2006-10-22,2006-10-22T20:05:00Z,CLE,DEN,17,7
2006,2,7,2006-10-22,2006-10-22T20:15:00Z,IND,WAS,22,36
2006,2,7,2006-10-22,2006-10-22T20:15:00Z,OAK,ARI,9,22
2006,2,7,2006-10-22,2006-10-22T20:15:00Z,SEA,MIN,31,13
2006,2,7,2006-10-24,2006-10-24T00:30:00Z,DAL,NYG,36,22
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,CHI,SFO,10,41
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,CIN,ATL,29,27
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,GBY,ARI,14,31
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,KCY,SEA,28,35
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,NOR,BAL,35,22
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,NYG,TBY,3,17
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,PHI,JAX,13,6
2006,2,8,2006-10-29,2006-10-29T18:00:00Z,TEN,HOU,22,28
2006,2,8,2006-10-29,2006-10-29T21:15:00Z,CLE,NYJ,13,20
2006,2,8,2006-10-29,2006-10-29T21:15:00Z,DEN,IND,34,31
2006,2,8,2006-10-29,2006-10-29T21:15:00Z,OAK,PIT,13,20
2006,2,8,2006-10-30,2006-10-30T01:15:00Z,CAR,DAL,35,14
2006,2,8,2006-10-31,2006-10-31T01:30:00Z,MIN,NWE,31,7
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,BAL,CIN,20,26
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,BUF,GBY,10,24
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,CHI,MIA,31,13
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,DET,ATL,14,30
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,JAX,TEN,7,37
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,NYG,HOU,10,14
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,TBY,NOR,31,14
2006,2,9,2006-11-05,2006-11-05T18:00:00Z,WAS,DAL,19,22
2006,2,9,2006-11-05,2006-11-05T21:05:00Z,SFO,MIN,3,9
2006,2,9,2006-11-05,2006-11-05T21:15:00Z,PIT,DEN,31,20
2006,2,9,2006-11-06,2006-11-06T01:15:00Z,NWE,IND,27,20
2006,2,9,2006-11-07,2006-11-07T01:30:00Z,SEA,OAK,0,16
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,ATL,CLE,17,13
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,DET,SFO,19,13
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,IND,BUF,16,17
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,JAX,HOU,13,10
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,MIA,KCY,10,13
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,MIN,GBY,23,17
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,NWE,NYJ,17,14
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,PHI,WAS,3,27
2006,2,10,2006-11-12,2006-11-12T18:00:00Z,TEN,BAL,27,26
2006,2,10,2006-11-12,2006-11-12T21:05:00Z,OAK,DEN,17,13
2006,2,10,2006-11-12,2006-11-12T21:15:00Z,ARI,DAL,27,10
2006,2,10,2006-11-12,2006-11-12T21:15:00Z,PIT,NOR,31,38
2006,2,10,2006-11-13,2006-11-13T01:15:00Z,NYG,CHI,38,20
2006,2,10,2006-11-14,2006-11-14T01:30:00Z,CAR,TBY,10,24
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,BAL,ATL,10,24
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,CLE,PIT,24,20
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,GBY,NWE,35,0
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,HOU,BUF,24,21
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,KCY,OAK,13,17
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,MIA,MIN,20,24
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,NOR,CIN,31,16
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,NYJ,CHI,10,0
2006,2,11,2006-11-19,2006-11-19T18:00:00Z,PHI,TEN,31,13
