trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
ats,is_after_loss,2017,New Orleans,NOR,2,3,0,6.4,2.9,NA
ats,is_after_loss,2017,New England,NWE,3,0,0,8,4.2,NA
ats,is_after_loss,2017,NY Giants,NYG,7,6,0,-7.6,-3.3,NA
ats,is_after_loss,2017,NY Jets,NYJ,6,3,1,-4.6,3.6,NA
ats,is_after_loss,2017,Oakland,OAK,3,4,2,-4.6,-3,NA
ats,is_after_loss,2017,Philadelphia,PHI,2,1,0,5.3,4.8,NA
ats,is_after_loss,2017,Pittsburgh,PIT,3,0,0,17,14.3,NA
ats,is_after_loss,2017,Seattle,SEA,3,2,1,3.7,-1.9,NA
ats,is_after_loss,2017,San Francisco,SFO,6,4,0,-6.5,-0.4,NA
ats,is_after_loss,2017,Tampa Bay,TBY,4,6,1,-3.9,-1.3,NA
ats,is_after_loss,2017,Tennessee,TEN,6,1,0,4.6,3.8,NA
ats,is_after_loss,2017,Washington,WAS,5,3,0,-0.9,-0.1,NA
ats,is_after_win,2016,Arizona,ARI,2,4,0,6.5,2.8,NA
ats,is_after_win,2016,Atlanta,ATL,9,4,0,9.4,7.4,NA
ats,is_after_win,2016,Baltimore,BAL,4,4,0,4.8,4.4,NA
ats,is_after_win,2016,Buffalo,BUF,3,4,0,6.1,3.4,NA
ats,is_after_win,2016,Carolina,CAR,2,3,1,-3.5,-3.2,NA
ats,is_after_win,2016,Chicago,CHI,1,2,0,-11.7,-8.7,NA
ats,is_after_win,2016,Cincinnati,CIN,1,4,0,-2.6,-3.3,NA
ats,is_after_win,2016,Cleveland,CLE,1,0,0,-3,0.5,NA
ats,is_after_win,2016,Dallas,DAL,9,4,0,8.2,6,NA
ats,is_after_win,2016,Denver,DEN,4,4,0,3.9,2.2,NA
ats,is_after_win,2016,Detroit,DET,5,4,0,1.7,0.4,NA
ats,is_after_win,2016,Green Bay,GBY,7,4,1,4.4,2.7,NA
ats,is_after_win,2016,Houston,HOU,2,8,0,-8.2,-4.5,NA
ats,is_after_win,2016,Indianapolis,IND,1,5,1,-7,-5.7,NA
ats,is_after_win,2016,Jacksonville,JAX,2,1,0,-6.7,-4.7,NA
ats,is_after_win,2016,Kansas City,KCY,5,6,1,0.6,-2,NA
ats,is_after_win,2016,LA Chargers,LAC,1,4,0,-4.6,-4.2,NA
ats,is_after_win,2016,LA Rams,LAR,2,2,0,-1.5,2.2,NA
ats,is_after_win,2016,Miami,MIA,6,3,1,-1.9,-0.1,NA
ats,is_after_win,2016,Minnesota,MIN,4,3,0,0.7,-0.4,NA
ats,is_after_win,2016,New Orleans,NOR,4,2,1,-0.1,-0.4,NA
ats,is_after_win,2016,New England,NWE,13,3,0,12.4,5.2,NA
ats,is_after_win,2016,NY Giants,NYG,5,6,0,0.5,-1,NA
ats,is_after_win,2016,NY Jets,NYJ,1,3,0,-10.8,-9.1,NA
ats,is_after_win,2016,Oakland,OAK,6,6,0,0.2,-1,NA
ats,is_after_win,2016,Philadelphia,PHI,3,3,0,7,8.3,NA
ats,is_after_win,2016,Pittsburgh,PIT,8,5,0,2.3,-1.9,NA
ats,is_after_win,2016,Seattle,SEA,5,6,0,-1.1,-3.7,NA
ats,is_after_win,2016,San Francisco,SFO,1,1,0,-10.5,1.2,NA
ats,is_after_win,2016,Tampa Bay,TBY,6,2,0,-0.6,2.9,NA
ats,is_after_win,2016,Tennessee,TEN,2,6,0,-5.5,-5.9,NA
ats,is_after_win,2016,Washington,WAS,5,3,0,1.8,-0.1,NA
ats,is_after_win,2017,Arizona,ARI,1,5,1,-13.7,-8.4,NA
ats,is_after_win,2017,Atlanta,ATL,5,6,0,1.7,-0.9,NA
ats,is_after_win,2017,Baltimore,BAL,3,5,1,0.4,-3.8,NA
ats,is_after_win,2017,Buffalo,BUF,5,4,0,-4.1,-0.2,NA
ats,is_after_win,2017,Carolina,CAR,5,6,0,0.5,-1.8,NA
ats,is_after_win,2017,Chicago,CHI,2,3,0,-7.6,-0.4,NA
ats,is_after_win,2017,Cincinnati,CIN,4,2,0,-2,0,NA
ats,is_after_win,2017,Dallas,DAL,3,4,1,-1.4,-4,NA
ats,is_after_win,2017,Denver,DEN,2,3,0,-0.4,-3.3,NA
ats,is_after_win,2017,Detroit,DET,3,4,1,2.2,0.4,NA
ats,is_after_win,2017,Green Bay,GBY,3,4,0,-3.3,-3.5,NA
ats,is_after_win,2017,Houston,HOU,3,1,0,-5.2,2,NA
ats,is_after_win,2017,Indianapolis,IND,1,2,0,-15,-5,NA
ats,is_after_win,2017,Jacksonville,JAX,6,6,0,2.2,-0.5,NA
ats,is_after_win,2017,Kansas City,KCY,7,3,0,5.6,2.2,NA
ats,is_after_win,2017,LA Chargers,LAC,5,3,0,8.1,6.1,NA
ats,is_after_win,2017,LA Rams,LAR,5,6,0,5.4,2.9,NA
ats,is_after_win,2017,Miami,MIA,2,3,1,-8.2,-4.4,NA
ats,is_after_win,2017,Minnesota,MIN,8,6,0,3.4,0.3,NA
ats,is_after_win,2017,New Orleans,NOR,8,4,0,8.3,5,NA
ats,is_after_win,2017,New England,NWE,9,6,0,11.3,1.8,NA
ats,is_after_win,2017,NY Giants,NYG,0,2,0,-13.5,-8,NA
ats,is_after_win,2017,NY Jets,NYJ,3,2,0,-5.8,-3.5,NA
ats,is_after_win,2017,Oakland,OAK,1,5,0,-6.8,-9.2,NA
ats,is_after_win,2017,Philadelphia,PHI,10,5,0,11.8,8.3,NA
ats,is_after_win,2017,Pittsburgh,PIT,4,9,0,3.2,-3.1,NA
ats,is_after_win,2017,Seattle,SEA,3,6,0,2.2,0.6,NA
ats,is_after_win,2017,San Francisco,SFO,3,2,0,6.6,7.3,NA
ats,is_after_win,2017,Tampa Bay,TBY,1,3,0,-6.5,-3.2,NA
ats,is_after_win,2017,Tennessee,TEN,3,6,1,-6.4,-6.2,NA
ats,is_after_win,2017,Washington,WAS,2,5,0,-3.7,-2.7,NA
ats,is_away,2016,Arizona,ARI,3,5,0,0,-0.1,NA
ats,is_away,2016,Atlanta,ATL,7,1,0,9.5,10.4,NA
ats,is_away,2016,Baltimore,BAL,2,6,0,-5.4,-3.5,NA
ats,is_away,2016,Buffalo,BUF,3,5,0,-2.2,-1.1,NA
ats,is_away,2016,Carolina,CAR,3,4,1,-5.2,-3.9,NA
ats,is_away,2016,Chicago,CHI,2,6,0,-13.5,-8.3,NA
ats,is_away,2016,Cincinnati,CIN,3,5,0,-4.2,-2.9,NA
ats,is_away,2016,Cleveland,CLE,3,5,0,-12,-4.2,NA
ats,is_away,2016,Dallas,DAL,5,3,0,5,5.5,NA
ats,is_away,2016,Denver,DEN,4,4,0,0,0.4,NA
ats,is_away,2016,Detroit,DET,3,6,0,-4.9,-0.9,NA
ats,is_away,2016,Green Bay,GBY,5,5,0,-3.6,-3,NA
ats,is_away,2016,Houston,HOU,2,6,0,-11,-4.8,NA
ats,is_away,2016,Indianapolis,IND,4,2,1,6.7,11,NA
